id;Comunidades_Autonomas;Provincias;Comarca;SAU;Superficie_HA;Cultivo;Permanota
136;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;0;9 Otros herbáceos;0
137;País Vasco;Araba/Álava;Montaña Alavesa;SAU en invernadero o abrigo alto accesible;0;Cultivos leñosos / permanentes (incluido viveros);0
138;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;0;10 Árboles de Navidad;0
139;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;1;3 Frutales originarios de clima templado, de hueso;7
140;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;5;7 Olivar;8
141;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;557;5 Cultivos industriales;5
142;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;11;8 Viñedo;6
143;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;822;4 Cultivos cosechados en verde;6
144;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;104;11 Otros cultivos leñosos;0
145;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;477;Barbechos  (incluye las tierras sembradas para abono en verde);0
146;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;802;2 Pasto intensivo;1
147;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;3;3 Pasto no utilizado a efectos de producción;1
148;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;3478;1 Pasto extensivo;1
149;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;4;2 Frutales originarios de clima templado, de pepita;7
150;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;13;6 Frutales de fruto seco;7
151;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;2;Huertos para consumo propio;9
152;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;334;3 Raíces y Tubérculos;9
153;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;6;6 Hortalizas, melones y fresas (excluidas semillas y plántulas);9
154;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;601;2 Leguminosas y proteaginosas secas para grano;9
155;País Vasco;Araba/Álava;Montaña Alavesa;SAU al aire libre;6141;1 Cereales para grano;9
156;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;3 Pasto no utilizado a efectos de producción;1
157;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Hortalizas, incluidos melones y fresas;9
158;País Vasco;Araba/Álava;Rioja Alavesa;SAU en invernadero o abrigo alto accesible;0;Flores y plantas ornamentales;2
159;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;5 Bayas (excluidas las fresas y bayas silvestres);7
160;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;4 Frutales originarios de clima tropical y subtropical;7
161;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;8 Semillas y plántulas destinadas a la venta;3
162;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;7 Flores y plantas ornamentales (venta como flor cortada, excepto semillas y plántulas);3
163;País Vasco;Araba/Álava;Rioja Alavesa;SAU al aire libre;0;1 Cítricos;8
